NAME,MIN,FGM,FGA,FTM,FTA,3PM,3PA,PTS,OFFR,DEFR,REB,AST,TO,STL,BLK
America East,UNH,Iba Camara,155,20,38,6,13,0,0,46,15,41,56,7,23,4,4
America East,UNH,David Watkins,152,18,46,4,7,12,32,52,10,26,36,2,11,2,1
America East,UNH,Daniel Dion,271,28,75,20,26,21,58,97,3,24,27,14,16,4,0
America East,UNH,Jaleen Smith,302,43,90,22,32,12,33,120,10,56,66,34,32,7,5
America East,UNH,Tanner Leissner,284,42,101,32,39,8,23,124,21,55,76,10,11,4,1
America East,Stony Brook,Tim Donohoe,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
America East,Stony Brook,Alonzo Campbell,8,0,0,0,0,0,0,0,0,1,1,1,1,0,1
America East,Stony Brook,Michael Almonacy,76,6,23,5,7,2,13,19,1,3,4,6,3,6,0
America East,Stony Brook,Jakub Petras,87,6,18,8,11,0,0,20,10,10,20,2,1,2,0
America East,Stony Brook,Junior Saintel,107,9,22,6,9,0,3,24,5,12,17,2,10,2,2
America East,Stony Brook,Kameron Mitchell,113,7,13,11,14,2,7,27,3,10,13,4,7,3,0
America East,Stony Brook,Bryan Sekunda,129,13,44,3,5,11,37,40,11,10,21,7,5,1,1
America East,Stony Brook,UC Iroegbu,159,14,41,0,0,13,33,41,3,11,14,9,5,2,1
America East,Stony Brook,Akwasi Yeboah,158,19,68,13,19,10,32,61,15,18,33,3,6,2,3
America East,Stony Brook,Roland Nyama,170,28,61,10,21,7,27,73,11,17,28,11,11,6,2
America East,Stony Brook,Lucas Woodhouse,208,27,66,23,24,10,29,87,5,16,21,33,13,11,0
America East,Stony Brook,Tyrell Sturdivant,182,32,73,32,47,0,0,96,20,32,52,4,11,2,6
America East,UMass Lowell,Connor Bennett,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
America East,UMass Lowell,Rinardo Perry,65,3,15,5,7,0,2,11,2,5,7,2,7,1,1
America East,UMass Lowell,Dontavious Smith,30,3,4,6,8,0,0,12,0,4,4,1,5,0,4
America East,UMass Lowell,Jordan Shea,4,2,2,0,0,0,0,4,1,0,1,0,0,0,0
America East,UMass Lowell,Stefan Borovac,98,7,20,12,17,0,5,26,5,16,21,5,9,1,1
America East,UMass Lowell,Logan Primerano,184,14,42,10,14,3,8,41,4,22,26,14,13,5,3
America East,UMass Lowell,Cameron Wolter,129,26,47,11,16,2,8,65,5,12,17,3,15,4,3
America East,UMass Lowell,Isaac White,259,26,58,16,17,16,45,84,1,15,16,20,18,1,0
America East,UMass Lowell,Ryan Jones,261,27,65,24,28,9,28,87,6,27,33,22,25,4,3
America East,UMass Lowell,Tyler Livingston,268,41,87,5,6,22,53,109,12,29,41,21,14,6,1
America East,UMass Lowell,Matt Harris,228,29,70,38,41,21,53,117,2,13,15,17,17,9,1
America East,UMass Lowell,Jahad Thomas,297,48,86,43,55,1,1,140,18,54,72,31,33,14,1
America East,UMBC,Ishmail Jabbie,4,0,1,0,2,0,1,0,1,1,2,0,0,0,0
America East,UMBC,Sam Schwietz,9,1,3,0,0,0,0,2,1,1,2,0,0,0,0
America East,UMBC,Daquon Ervin,15,1,3,4,6,0,1,6,2,2,4,4,3,0,0
America East,UMBC,Joel Wincowski,29,4,5,0,0,2,3,10,3,0,3,2,1,1,1
America East,UMBC,Malcolm Brent,23,3,6,2,2,3,5,11,0,2,2,2,1,1,0
America East,UMBC,Ben Grace,36,5,11,2,4,5,11,17,0,4,4,5,4,1,0
America East,UMBC,Max Curran,80,12,25,7,8,3,11,34,6,17,23,3,8,4,6
America East,UMBC,Arkel Lamar,88,14,32,5,11,2,13,35,8,15,23,1,3,7,3
America East,UMBC,Jourdan Grant,129,14,34,12,20,5,12,45,1,19,20,12,9,0,1
America East,UMBC,Nolan Gerrity,142,24,37,5,8,0,0,53,18,30,48,6,7,3,6
America East,UMBC,Rodney Elliott,64,8,19,1,3,6,12,23,2,6,8,12,6,0,0
America East,UMBC,K.J. Maura,187,22,47,12,13,11,22,67,4,10,14,19,11,10,0
America East,UMBC,Joe Sherburne,205,31,57,4,6,16,35,82,7,19,26,11,5,7,2
America East,UMBC,Will Darley,186,28,55,15,18,16,35,87,8,19,27,11,7,3,1
America East,UMBC,Jairus Lyles,202,45,88,26,37,9,24,125,10,19,29,20,14,10,0
America East,Vermont,Josh Hearlihy,75,4,13,0,0,2,6,10,1,5,6,5,2,0,1
America East,Vermont,David Urso,22,1,5,0,0,1,4,3,0,0,0,0,0,1,1
America East,Vermont,Darren Payen,80,13,21,6,7,0,0,32,7,10,17,0,9,2,2
America East,Vermont,Cam Ward,133,12,31,12,16,8,17,44,0,13,13,12,9,5,0
America East,Vermont,Drew Urquhart,147,17,27,11,18,0,0,45,14,22,36,7,11,1,5
America East,Vermont,Dre Wills,188,18,31,14,24,0,2,50,7,23,30,16,10,12,4
America East,Vermont,Kurt Steidl,239,23,69,10,11,15,53,71,3,33,36,12,10,10,2
America East,Vermont,Trae Bell-Haynes,246,32,64,9,15,5,11,78,4,11,15,36,24,13,0
America East,Vermont,Anthony Lamb,197,39,82,14,20,5,22,97,19,33,52,6,23,7,6
America East,Vermont,Ernie Duncan,243,32,74,11,12,23,56,98,4,24,28,16,11,6,0
America East,Vermont,Payton Henson,230,40,73,26,29,8,20,114,18,38,56,12,16,5,3
American,Cincinnati,John Koz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American,Cincinnati,Jackson Bart,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American,Cincinnati,Zack Tobler,4,0,3,1,2,0,1,1,0,2,2,0,0,1,0
American,Cincinnati,Nysier Brooks,52,7,13,6,10,0,0,20,5,6,11,1,5,2,4
American,Cincinnati,Quadri Moore,39,7,18,0,0,1,3,15,4,6,10,0,5,1,1
American,Cincinnati,Justin Jenifer,112,8,23,2,6,5,12,23,2,7,9,12,6,6,0
American,Cincinnati,Jarron Cumberland,96,10,22,10,16,3,14,33,4,4,8,9,2,6,2
American,Cincinnati,Tre Scott,82,12,21,5,8,0,0,29,10,12,22,7,3,0,8
American,Cincinnati,Kevin Johnson,193,16,47,6,9,6,30,44,5,11,16,6,11,9,1
American,Cincinnati,Gary Clark,185,23,42,8,15,1,7,55,18,26,44,11,7,8,13
American,Cincinnati,Troy Caupain,236,24,69,9,12,7,30,64,4,34,38,30,13,11,5
American,Cincinnati,Kyle Washington,192,47,85,17,25,3,8,114,22,44,66,11,12,2,12
American,Cincinnati,Jacob Evans,231,40,73,24,29,14,33,118,12,19,31,15,14,11,3
American,UConn,Juwan Durham,49,2,5,0,0,1,1,5,1,5,6,2,1,1,4
