NAME,GP,MIN,PPG,RPG,APG,SPG,BPG,TPG,FG%,FT%,3P%
America East,Maine,Dennis Ashley,7.0,12.6,5.0,0.3,0.9,0.1,0.0,0.3,0.379,0.750,0.304
America East,Maine,Vincent Eze,8.0,16.0,5.4,3.9,0.3,0.3,0.3,1.0,0.413,0.294,0.000
America East,Maine,Marko Pirovic,8.0,18.3,7.5,4.8,0.3,0.3,0.0,1.0,0.429,0.700,0.182
America East,Maine,Aaron Calixte,2.0,28.0,8.5,1.5,2.5,0.5,0.0,0.5,0.286,1.000,0.200
America East,Maine,Andrew Fleming,8.0,26.0,9.9,5.5,0.9,1.0,0.8,1.4,0.516,0.619,0.000
America East,Maine,Ilker Er,8.0,20.8,11.1,3.9,0.3,0.1,0.0,1.0,0.378,0.857,0.396
America East,Maine,Wesley Myers,8.0,27.3,13.0,4.8,2.6,0.8,0.3,0.9,0.383,0.805,0.450
America East,UNH,Ken Uhlar,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000
America East,UNH,Darryl Stewart,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000
America East,UNH,Luke Rosinski,3.0,9.0,0.7,1.0,0.0,0.0,0.0,1.3,0.500,0.000,0.000
America East,UNH,Keon Burns,7.0,12.3,0.7,1.1,0.6,0.1,0.0,1.1,0.154,0.000,0.111
America East,UNH,John Ogwuche,4.0,11.0,2.8,1.8,0.5,0.3,0.3,0.3,0.500,1.000,0.250
America East,UNH,Jordan Reed,8.0,25.8,3.8,1.6,1.9,0.8,0.0,2.1,0.250,0.500,0.200
America East,UNH,Kijana Love,5.0,14.2,4.4,0.4,0.8,0.4,0.0,2.0,0.292,1.000,0.333
America East,UNH,Iba Camara,8.0,19.4,5.8,7.0,0.9,0.5,0.5,2.9,0.526,0.462,0.000
America East,UNH,David Watkins,8.0,19.0,6.5,4.5,0.3,0.3,0.1,1.4,0.391,0.571,0.375
America East,UNH,Daniel Dion,8.0,33.9,12.1,3.4,1.8,0.5,0.0,2.0,0.373,0.769,0.362
America East,UNH,Jaleen Smith,8.0,37.8,15.0,8.3,4.3,0.9,0.6,4.0,0.478,0.688,0.364
America East,UNH,Tanner Leissner,8.0,35.5,15.5,9.5,1.3,0.5,0.1,1.4,0.416,0.821,0.348
America East,Stony Brook,Tim Donohoe,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000
America East,Stony Brook,Alonzo Campbell,3.0,2.7,0.0,0.3,0.3,0.0,0.3,0.3,0.000,0.000,0.000
America East,Stony Brook,Michael Almonacy,7.0,10.9,2.7,0.6,0.9,0.9,0.0,0.4,0.261,0.714,0.154
America East,Stony Brook,Jakub Petras,7.0,12.4,2.9,2.9,0.3,0.3,0.0,0.1,0.333,0.727,0.000
America East,Stony Brook,Junior Saintel,7.0,15.3,3.4,2.4,0.3,0.3,0.3,1.4,0.409,0.667,0.000
America East,Stony Brook,Kameron Mitchell,7.0,16.1,3.9,1.9,0.6,0.4,0.0,1.0,0.538,0.786,0.286
America East,Stony Brook,Bryan Sekunda,7.0,18.4,5.7,3.0,1.0,0.1,0.1,0.7,0.295,0.600,0.297
America East,Stony Brook,UC Iroegbu,7.0,22.7,5.9,2.0,1.3,0.3,0.1,0.7,0.341,0.000,0.394
America East,Stony Brook,Akwasi Yeboah,7.0,22.6,8.7,4.7,0.4,0.3,0.4,0.9,0.279,0.684,0.313
America East,Stony Brook,Roland Nyama,7.0,24.3,10.4,4.0,1.6,0.9,0.3,1.6,0.459,0.476,0.259
America East,Stony Brook,Lucas Woodhouse,7.0,29.7,12.4,3.0,4.7,1.6,0.0,1.9,0.409,0.958,0.345
America East,Stony Brook,Tyrell Sturdivant,7.0,26.0,13.7,7.4,0.6,0.3,0.9,1.6,0.438,0.681,0.000
America East,UMass Lowell,Connor Bennett,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000
America East,UMass Lowell,Rinardo Perry,8.0,8.1,1.4,0.9,0.3,0.1,0.1,0.9,0.200,0.714,0.000
America East,UMass Lowell,Dontavious Smith,7.0,4.3,1.7,0.6,0.1,0.0,0.6,0.7,0.750,0.750,0.000
America East,UMass Lowell,Jordan Shea,2.0,2.0,2.0,0.5,0.0,0.0,0.0,0.0,1.000,0.000,0.000
America East,UMass Lowell,Stefan Borovac,9.0,10.9,2.9,2.3,0.6,0.1,0.1,1.0,0.350,0.706,0.000
America East,UMass Lowell,Logan Primerano,9.0,20.4,4.6,2.9,1.6,0.6,0.3,1.4,0.333,0.714,0.375
America East,UMass Lowell,Cameron Wolter,9.0,14.3,7.2,1.9,0.3,0.4,0.3,1.7,0.553,0.688,0.250
America East,UMass Lowell,Isaac White,9.0,28.8,9.3,1.8,2.2,0.1,0.0,2.0,0.448,0.941,0.356
America East,UMass Lowell,Ryan Jones,9.0,29.0,9.7,3.7,2.4,0.4,0.3,2.8,0.415,0.857,0.321
America East,UMass Lowell,Tyler Livingston,9.0,29.8,12.1,4.6,2.3,0.7,0.1,1.6,0.471,0.833,0.415
America East,UMass Lowell,Matt Harris,9.0,25.3,13.0,1.7,1.9,1.0,0.1,1.9,0.414,0.927,0.396
America East,UMass Lowell,Jahad Thomas,9.0,33.0,15.6,8.0,3.4,1.6,0.1,3.7,0.558,0.782,1.000
America East,UMBC,Ishmail Jabbie,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000
America East,UMBC,Sam Schwietz,2.0,4.5,1.0,1.0,0.0,0.0,0.0,0.0,0.333,0.000,0.000
America East,UMBC,Daquon Ervin,3.0,5.0,2.0,1.3,1.3,0.0,0.0,1.0,0.333,0.667,0.000
America East,UMBC,Joel Wincowski,4.0,7.3,2.5,0.8,0.5,0.3,0.3,0.3,0.800,0.000,0.667
America East,UMBC,Malcolm Brent,3.0,7.7,3.7,0.7,0.7,0.3,0.0,0.3,0.500,1.000,0.600
America East,UMBC,Ben Grace,4.0,9.0,4.3,1.0,1.3,0.3,0.0,1.0,0.455,0.500,0.455
America East,UMBC,Max Curran,7.0,11.4,4.9,3.3,0.4,0.6,0.9,1.1,0.480,0.875,0.273
America East,UMBC,Arkel Lamar,5.0,17.6,7.0,4.6,0.2,1.4,0.6,0.6,0.438,0.455,0.154
America East,UMBC,Jourdan Grant,6.0,21.5,7.5,3.3,2.0,0.0,0.2,1.5,0.412,0.600,0.417
America East,UMBC,Nolan Gerrity,7.0,20.3,7.6,6.9,0.9,0.4,0.9,1.0,0.649,0.625,0.000
America East,UMBC,Rodney Elliott,3.0,21.3,7.7,2.7,4.0,0.0,0.0,2.0,0.421,0.333,0.500
America East,UMBC,K.J. Maura,6.0,31.2,11.2,2.3,3.2,1.7,0.0,1.8,0.468,0.923,0.500
America East,UMBC,Joe Sherburne,7.0,29.3,11.7,3.7,1.6,1.0,0.3,0.7,0.544,0.667,0.457
America East,UMBC,Will Darley,7.0,26.6,12.4,3.9,1.6,0.4,0.1,1.0,0.509,0.833,0.457
